Time ,Open,High,Low,Close,Volume 
2021.03.16 21:00:00,1.19029,1.19074,1.18995,1.19035,1065.8284
2021.03.16 22:00:00,1.19034,1.19044,1.19019,1.19021,622.83
2021.03.16 23:00:00,1.1902,1.19049,1.19004,1.19024,1591.64
2021.03.17 00:00:00,1.19021,1.19064,1.19,1.19015,3587.16
2021.03.17 01:00:00,1.19014,1.19025,1.1893,1.18971,3544.5
2021.03.17 02:00:00,1.18972,1.19019,1.18962,1.19019,2866.86
2021.03.17 03:00:00,1.1902,1.19044,1.18996,1.19015,2248.08
2021.03.17 04:00:00,1.19014,1.19039,1.18995,1.19037,1347.74
2021.03.17 05:00:00,1.19035,1.19045,1.18982,1.18983,2024.45
2021.03.17 06:00:00,1.18983,1.19082,1.18973,1.19079,2607.58
2021.03.17 07:00:00,1.1908,1.19083,1.18912,1.18914,4294.81
2021.03.17 08:00:00,1.18912,1.19,1.18863,1.18982,5114.93
2021.03.17 09:00:00,1.18989,1.19168,1.1897,1.19107,5687.97
2021.03.17 10:00:00,1.19107,1.19156,1.19068,1.19115,4020.84
2021.03.17 11:00:00,1.19114,1.1912,1.18928,1.18937,6763.57
2021.03.17 12:00:00,1.18937,1.1914,1.18914,1.19118,8447.17
2021.03.17 13:00:00,1.19118,1.19128,1.19009,1.19014,7470.32
2021.03.17 14:00:00,1.19012,1.19152,1.1901,1.1908,6847.16
2021.03.17 15:00:00,1.19079,1.19133,1.1903,1.19041,6874.33
2021.03.17 16:00:00,1.19042,1.19042,1.18971,1.19017,5451.28
2021.03.17 17:00:00,1.19017,1.19103,1.18979,1.19094,4523.14
2021.03.17 18:00:00,1.19094,1.19855,1.19094,1.19775,28874.19
2021.03.17 19:00:00,1.19774,1.19832,1.19615,1.19774,12387.81
2021.03.17 20:00:00,1.19774,1.19859,1.1975,1.198,2783.49
2021.03.17 21:00:00,1.19807,1.19826,1.19766,1.19805,664.4612
2021.03.17 22:00:00,1.19806,1.19877,1.1978,1.19788,1890.24
2021.03.17 23:00:00,1.19786,1.19843,1.19783,1.19827,1814.27
2021.03.18 00:00:00,1.19829,1.1988,1.19787,1.19856,5573
