Time (EET),Open,High,Low,Close,Volume 
2010.07.14 09:15:00,1.27148,1.27266,1.27078,1.2716,1002.8
2010.07.14 09:30:00,1.27167,1.27197,1.27013,1.27028,918.9
2010.07.14 09:45:00,1.2703,1.27085,1.26943,1.26993,762.9
2010.07.14 10:00:00,1.27007,1.27078,1.26895,1.26945,1238.6
2010.07.14 10:15:00,1.26934,1.27124,1.26889,1.27095,1033.6
2010.07.14 10:30:00,1.27098,1.27267,1.27082,1.2719,941.2
2010.07.14 10:45:00,1.27191,1.27217,1.27104,1.27157,1191
2010.07.14 11:00:00,1.27158,1.27287,1.27086,1.27254,1020.2
2010.07.14 11:15:00,1.27255,1.27366,1.27178,1.27319,1187.7
2010.07.14 11:30:00,1.27309,1.27354,1.27172,1.27233,1123.3
2010.07.14 11:45:00,1.27232,1.27249,1.27105,1.27189,1050.4
2010.07.14 12:00:00,1.27192,1.27208,1.27033,1.27132,1009.1
2010.07.14 12:15:00,1.27111,1.27156,1.27006,1.2704,960.7
2010.07.14 12:30:00,1.27041,1.27138,1.27004,1.27064,1070
2010.07.14 12:45:00,1.27077,1.2711,1.2703,1.27048,1052.4
2010.07.14 13:00:00,1.27034,1.27129,1.27003,1.27112,1108.9
2010.07.14 13:15:00,1.27118,1.27217,1.27062,1.27164,976.5
2010.07.14 13:30:00,1.27165,1.27267,1.27119,1.27197,752.6
2010.07.14 13:45:00,1.27202,1.27237,1.27051,1.27162,1094.4
2010.07.14 14:00:00,1.27161,1.27186,1.26978,1.27032,1039.1
2010.07.14 14:15:00,1.27031,1.27079,1.26953,1.27055,835.1
2010.07.14 14:30:00,1.27048,1.27126,1.26951,1.26983,824.1
2010.07.14 14:45:00,1.26973,1.27101,1.26951,1.27023,736.5
2010.07.14 15:00:00,1.27023,1.27105,1.26947,1.27046,814.3
2010.07.14 15:15:00,1.27039,1.27065,1.26935,1.27024,885.2
2010.07.14 15:30:00,1.27033,1.27205,1.27006,1.271,800.9
2010.07.14 15:45:00,1.27095,1.2729,1.27085,1.27126,1113.9
2010.07.14 16:00:00,1.27129,1.27144,1.26817,1.27033,1119.5
2010.07.14 16:15:00,1.27036,1.27125,1.26956,1.26988,1073.6
2010.07.14 16:30:00,1.26993,1.27107,1.26954,1.27015,1727.8
2010.07.14 16:45:00,1.27004,1.27165,1.26982,1.27079,1147.6
2010.07.14 17:00:00,1.27094,1.27148,1.26989,1.27094,1371.4
2010.07.14 17:15:00,1.27092,1.27176,1.27031,1.27077,1182
2010.07.14 17:30:00,1.2708,1.27166,1.27003,1.27152,1364.3
2010.07.14 17:45:00,1.27153,1.27315,1.27104,1.27306,1196
2010.07.14 18:00:00,1.27294,1.27626,1.27231,1.2762,1169.7
2010.07.14 18:15:00,1.27624,1.27724,1.2754,1.27574,1124.4
2010.07.14 18:30:00,1.27565,1.27754,1.27541,1.27734,1037.1
2010.07.14 18:45:00,1.27723,1.27786,1.2751,1.27533,1283.1
2010.07.14 19:00:00,1.27536,1.27652,1.27492,1.2763,1169.5
2010.07.14 19:15:00,1.27633,1.27705,1.2758,1.27682,1055.6
2010.07.14 19:30:00,1.27679,1.27698,1.27583,1.27662,997
2010.07.14 19:45:00,1.27659,1.27676,1.27491,1.2755,927.3
2010.07.14 20:00:00,1.2755,1.27628,1.27523,1.2761,668.2
2010.07.14 20:15:00,1.27605,1.27648,1.27485,1.2752,961.6
2010.07.14 20:30:00,1.27519,1.27588,1.27503,1.27575,690
2010.07.14 20:45:00,1.27589,1.27628,1.27444,1.27505,766.1
2010.07.14 21:00:00,1.27493,1.27514,1.27253,1.27459,684.1
2010.07.14 21:15:00,1.27452,1.27459,1.27271,1.2737,705.6
2010.07.14 21:30:00,1.27363,1.27411,1.27315,1.27377,679.7
2010.07.14 21:45:00,1.27364,1.27389,1.27252,1.27309,547.3
2010.07.14 22:00:00,1.27299,1.27368,1.27274,1.27345,650.4
2010.07.14 22:15:00,1.27336,1.27477,1.27316,1.27418,632.3
2010.07.14 22:30:00,1.27403,1.27423,1.27276,1.27298,688.7
2010.07.14 22:45:00,1.27303,1.27407,1.27262,1.27369,667.9
2010.07.14 23:00:00,1.2737,1.2741,1.27334,1.27375,768.1
2010.07.14 23:15:00,1.27382,1.27389,1.2731,1.27354,929.6
2010.07.14 23:30:00,1.27343,1.27397,1.27321,1.27368,802.4
2010.07.14 23:45:00,1.27362,1.27452,1.27329,1.27425,1087
2010.07.15 00:00:00,1.27421,1.27457,1.27337,1.2739,953.4
2010.07.15 00:15:00,1.27394,1.27438,1.27373,1.27417,570.2
2010.07.15 00:30:00,1.27447,1.27447,1.27348,1.27395,560.9
2010.07.15 00:45:00,1.27381,1.27447,1.27351,1.27438,633.4
2010.07.15 01:00:00,1.27415,1.27445,1.27365,1.27422,497.2
2010.07.15 01:15:00,1.27417,1.27439,1.27385,1.27429,425.8
2010.07.15 01:30:00,1.27426,1.27461,1.27377,1.27401,406
2010.07.15 01:45:00,1.27411,1.27422,1.27367,1.27387,554.3
2010.07.15 02:00:00,1.2739,1.27421,1.27342,1.27369,671.8
2010.07.15 02:15:00,1.27384,1.27419,1.27346,1.2739,539.9
2010.07.15 02:30:00,1.27389,1.27419,1.27361,1.27393,508.3
2010.07.15 02:45:00,1.27382,1.27408,1.27327,1.27338,593.3
2010.07.15 03:00:00,1.27319,1.27331,1.27203,1.27203,364.1
2010.07.15 03:15:00,1.27238,1.27308,1.27217,1.27244,327.9
2010.07.15 03:30:00,1.27239,1.27273,1.27178,1.27234,467.4
2010.07.15 03:45:00,1.27208,1.27243,1.27073,1.27122,347.7
2010.07.15 04:00:00,1.27134,1.27209,1.2711,1.2716,368.9
2010.07.15 04:15:00,1.27132,1.27243,1.27131,1.27176,334.1
2010.07.15 04:30:00,1.2721,1.27229,1.27152,1.27174,392.3
2010.07.15 04:45:00,1.27165,1.27263,1.27153,1.27244,426.9
2010.07.15 05:00:00,1.27215,1.27547,1.27168,1.27531,1085.1
2010.07.15 05:15:00,1.27566,1.27646,1.27504,1.27537,923.9
2010.07.15 05:30:00,1.27526,1.27597,1.27447,1.27544,663.5
2010.07.15 05:45:00,1.27551,1.27577,1.27488,1.27526,803.5
2010.07.15 06:00:00,1.27534,1.2754,1.27413,1.27455,950.7
2010.07.15 06:15:00,1.27446,1.27544,1.27413,1.27495,662.5
2010.07.15 06:30:00,1.27504,1.27548,1.27434,1.27515,1049.3
2010.07.15 06:45:00,1.27513,1.27547,1.27463,1.27526,1022.3
2010.07.15 07:00:00,1.27536,1.27548,1.27364,1.2741,883
2010.07.15 07:15:00,1.27391,1.27434,1.27344,1.27391,825.7
2010.07.15 07:30:00,1.27403,1.27448,1.27358,1.27402,697.3
2010.07.15 07:45:00,1.27393,1.27436,1.27349,1.27425,675.7
2010.07.15 08:00:00,1.27427,1.27486,1.27367,1.2742,848.2
2010.07.15 08:15:00,1.27405,1.27523,1.27371,1.27491,637.1
2010.07.15 08:30:00,1.27495,1.27549,1.27452,1.27503,724
2010.07.15 08:45:00,1.27484,1.27526,1.27355,1.27405,954.8
2010.07.15 09:00:00,1.27411,1.27437,1.27294,1.27348,868.1
2010.07.15 09:15:00,1.27354,1.27359,1.27208,1.27319,862.7
2010.07.15 09:30:00,1.27333,1.27347,1.27155,1.27204,1015.7
2010.07.15 09:45:00,1.27209,1.27357,1.27183,1.27334,791.9
2010.07.15 10:00:00,1.27336,1.27395,1.27202,1.27209,1268.9
2010.07.15 10:15:00,1.27198,1.27345,1.27173,1.27264,1071.3
2010.07.15 10:30:00,1.27253,1.27326,1.27173,1.27302,1000.2
2010.07.15 10:45:00,1.27326,1.27455,1.27232,1.27394,1101.2
2010.07.15 11:00:00,1.27389,1.27503,1.27338,1.27461,1054.4
2010.07.15 11:15:00,1.27472,1.27755,1.27453,1.27687,1100.9
2010.07.15 11:30:00,1.27692,1.27852,1.27644,1.27745,1260.3
2010.07.15 11:45:00,1.2777,1.27985,1.27753,1.27882,1069.3
2010.07.15 12:00:00,1.27875,1.28039,1.27818,1.27936,959.2
2010.07.15 12:15:00,1.27937,1.28008,1.27834,1.27867,1078.5
2010.07.15 12:30:00,1.27864,1.27907,1.27713,1.2776,942.4
2010.07.15 12:45:00,1.27762,1.27931,1.27731,1.27922,1020.9
2010.07.15 13:00:00,1.27927,1.27947,1.27795,1.27895,1009.5
2010.07.15 13:15:00,1.27889,1.28206,1.27845,1.28145,899.3
2010.07.15 13:30:00,1.28142,1.28349,1.28131,1.28224,737.9
2010.07.15 13:45:00,1.28236,1.28304,1.28136,1.28138,975.3
2010.07.15 14:00:00,1.28141,1.28187,1.28091,1.28124,1043.1
2010.07.15 14:15:00,1.28129,1.28257,1.28078,1.28215,850.5
2010.07.15 14:30:00,1.28225,1.2823,1.28083,1.28141,952.9
2010.07.15 14:45:00,1.28137,1.28168,1.28083,1.28146,730.3
2010.07.15 15:00:00,1.28146,1.28296,1.28121,1.28267,788.3
2010.07.15 15:15:00,1.2826,1.28486,1.28202,1.28445,959.9
2010.07.15 15:30:00,1.28459,1.28556,1.28339,1.28518,858.1
2010.07.15 15:45:00,1.28524,1.28648,1.28425,1.28591,1062.6
2010.07.15 16:00:00,1.28568,1.28772,1.28527,1.28711,1159.2
2010.07.15 16:15:00,1.28722,1.28799,1.2859,1.28635,963.9
2010.07.15 16:30:00,1.28635,1.28797,1.28584,1.28737,1659.9
2010.07.15 16:45:00,1.28742,1.28919,1.28681,1.28825,1219.1
2010.07.15 17:00:00,1.2881,1.28933,1.28523,1.2871,1395.6
2010.07.15 17:15:00,1.2871,1.28829,1.2861,1.28781,1365.3
2010.07.15 17:30:00,1.28754,1.28865,1.28623,1.28808,1279.8
2010.07.15 17:45:00,1.28839,1.28967,1.28777,1.28922,1077.1
2010.07.15 18:00:00,1.28932,1.29127,1.28882,1.29072,1269.8
2010.07.15 18:15:00,1.29055,1.29177,1.29028,1.29112,1145.5
2010.07.15 18:30:00,1.29118,1.29168,1.29004,1.29043,1090.8
2010.07.15 18:45:00,1.29046,1.29053,1.28862,1.28913,1280.8
2010.07.15 19:00:00,1.28913,1.28939,1.28754,1.28821,1201.4
2010.07.15 19:15:00,1.28825,1.28839,1.28672,1.28723,1014.9
2010.07.15 19:30:00,1.28708,1.28768,1.28661,1.28731,1032.9
2010.07.15 19:45:00,1.28724,1.28788,1.28682,1.28785,966.1
2010.07.15 20:00:00,1.28806,1.29039,1.28766,1.28941,706.3
2010.07.15 20:15:00,1.28952,1.29064,1.28913,1.28985,979
2010.07.15 20:30:00,1.28991,1.29027,1.28864,1.28915,735.2
2010.07.15 20:45:00,1.28903,1.29002,1.2887,1.28918,749.1
2010.07.15 21:00:00,1.28913,1.28982,1.2885,1.2889,636.9
2010.07.15 21:15:00,1.28896,1.29013,1.28852,1.28988,581.8
2010.07.15 21:30:00,1.28987,1.29094,1.28967,1.29079,602.3
2010.07.15 21:45:00,1.29099,1.29132,1.28927,1.28951,515.9
2010.07.15 22:00:00,1.28944,1.2903,1.28915,1.28943,638.9
2010.07.15 22:15:00,1.28934,1.29085,1.28895,1.2907,686
2010.07.15 22:30:00,1.29056,1.29172,1.29032,1.29147,628.2
2010.07.15 22:45:00,1.29156,1.29439,1.2911,1.29307,696.8
2010.07.15 23:00:00,1.29342,1.29438,1.29232,1.29391,725.7
2010.07.15 23:15:00,1.29393,1.29552,1.29314,1.29406,944.3
2010.07.15 23:30:00,1.29417,1.29502,1.29383,1.29415,801.2
2010.07.15 23:45:00,1.29413,1.29507,1.29344,1.29493,1076.8
2010.07.16 00:00:00,1.29487,1.29506,1.2934,1.29374,939.9
2010.07.16 00:15:00,1.29366,1.29397,1.29306,1.29332,587.4
2010.07.16 00:30:00,1.29325,1.29359,1.29302,1.29339,471.8
2010.07.16 00:45:00,1.29333,1.29375,1.29263,1.29302,683.8
2010.07.16 01:00:00,1.2931,1.29373,1.29249,1.29319,519.2
2010.07.16 01:15:00,1.29339,1.29367,1.29215,1.29233,444.7
2010.07.16 01:30:00,1.29243,1.29271,1.2922,1.29244,518
2010.07.16 01:45:00,1.29251,1.29297,1.29201,1.29233,604.9
2010.07.16 02:00:00,1.29218,1.29236,1.29141,1.29189,635.5
2010.07.16 02:15:00,1.29199,1.2926,1.29152,1.29202,430.6
2010.07.16 02:30:00,1.29209,1.29238,1.29168,1.29203,576.6
2010.07.16 02:45:00,1.29208,1.29258,1.29156,1.29185,592.2
2010.07.16 03:00:00,1.2918,1.29198,1.29113,1.29113,357.8
2010.07.16 03:15:00,1.29151,1.29211,1.29095,1.29185,355
2010.07.16 03:30:00,1.29184,1.29258,1.29128,1.29155,404
2010.07.16 03:45:00,1.29148,1.29209,1.29101,1.2912,394
